product_name,brand_name,price,old_price,discount_percent,image_url,product_url,source_url,crawl_date,crawl_time
iPhone 11 64GB | Chính hãng VN/A,Apple,7490000đ,9990000đ,25%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-11.png,https://cellphones.com.vn/iphone-11.html,https://cellphones.com.vn,2025-11-14,19:40:20
iPhone 11 128GB | Chính hãng VN/A,Apple,8490000đ,11990000đ,29%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-11-128gb.png,https://cellphones.com.vn/iphone-11-128gb.html,https://cellphones.com.vn,2025-11-14,19:40:20
iPhone 12 64GB | Chính hãng VN/A,Apple,7990000đ,11990000đ,33%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-12.png,https://cellphones.com.vn/iphone-12.html,https://cellphones.com.vn,2025-11-14,19:40:26
iPhone 12 Pro Max 128GB I Chính hãng VN/A,Apple,23490000đ,28990000đ,19%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/1/_/1_251_1.jpg,https://cellphones.com.vn/iphone-12-pro-max.html,https://cellphones.com.vn,2025-11-14,19:40:26
iPhone 12 mini 64GB I Chính hãng VN/A,Apple,12990000đ,14990000đ,13%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-12-mini_1.png,https://cellphones.com.vn/iphone-12-mini.html,https://cellphones.com.vn,2025-11-14,19:40:26
iPhone 12 Pro 128GB I Chính hãng VN/A,Apple,24990000đ,26990000đ,7%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_12_pro.jpg,https://cellphones.com.vn/iphone-12-pro.html,https://cellphones.com.vn,2025-11-14,19:40:26
iPhone 12 128GB | Chính hãng VN/A,Apple,9990000đ,12990000đ,23%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-12-128gb_2.png,https://cellphones.com.vn/iphone-12-128gb.html,https://cellphones.com.vn,2025-11-14,19:40:26
iPhone 12 Pro Max 256GB I Chính hãng VN/A,Apple,27590000đ,31990000đ,14%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/2/_/2_240_2.jpg,https://cellphones.com.vn/iphone-12-pro-max-256gb.html,https://cellphones.com.vn,2025-11-14,19:40:26
iPhone 12 Pro 256GB | Chính hãng VN/A,Apple,24990000đ,28990000đ,14%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-12-pro-256gb.png,https://cellphones.com.vn/iphone-12-pro-256gb.html,https://cellphones.com.vn,2025-11-14,19:40:26
iPhone 13 128GB | Chính hãng VN/A,Apple,12090000đ,13990000đ,14%,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-13_2_2.jpg,https://cellphones.com.vn/iphone-13.html,https://cellphones.com.vn,2025-11-14,19:40:32
